seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	1335755	1335874	120	*	X00110	81669	1321091	1334718	13628	-	1036	upstream	1036	CCNL2
chr1	1370107	1370142	36	*	X00114	64856	1370903	1378262	7360	+	760	upstream	760	VWA1
chr1	1370992	1371096	105	*	X00115	64856	1370903	1378262	7360	+	0	inside	88	VWA1
chr1	1406075	1406102	28	*	X00118	83858	1407164	1444689	37526	+	1061	upstream	1061	ATAD3B
chr1	1406307	1406516	210	*	X00119	83858	1407164	1444689	37526	+	647	upstream	647	ATAD3B
chr1	1446979	1447098	120	*	X00120	55210	1447523	1470067	22545	+	424	upstream	424	ATAD3A
chr1	1475549	1475553	5	*	X00122	339453	1470158	1475740	5583	-	0	inside	186	TMEM240
chr1	1475569	1475761	193	*	X00123	339453	1470158	1475740	5583	-	0	overlapStart	0	TMEM240
chr1	1476121	1476208	88	*	X00124	339453	1470158	1475740	5583	-	380	upstream	380	TMEM240
chr1	1566446	1566452	7	*	X00127	8510	1567560	1570030	2471	+	1107	upstream	1107	MMP23B
chr1	1566532	1566962	431	*	X00128	8510	1567560	1570030	2471	+	597	upstream	597	MMP23B
chr1	1567192	1567491	300	*	X00129	8510	1567560	1570030	2471	+	68	upstream	68	MMP23B
chr1	1567803	1567861	59	*	X00130	8510	1567560	1570030	2471	+	0	inside	242	MMP23B
chr1	1822775	1823044	270	*	X00135	2782	1716725	1822526	105802	-	248	upstream	248	GNB1
chr1	1823165	1823299	135	*	X00136	2782	1716725	1822526	105802	-	638	upstream	638	GNB1
chr1	1850715	1850739	25	*	X00137	339456	1849029	1850740	1712	-	0	inside	0	TMEM52
chr1	1935072	1935176	105	*	X00138	85452	1884752	1935276	50525	-	0	inside	99	CFAP74
chr1	1950179	1950283	105	*	X00139	2563	1950768	1962192	11425	+	484	upstream	484	GABRD
chr1	1950614	1950640	27	*	X00140	2563	1950768	1962192	11425	+	127	upstream	127	GABRD
chr1	1981357	1981416	60	*	X00142	5590	1981909	2116834	134926	+	492	upstream	492	PRKCZ
chr1	1981622	1981654	33	*	X00143	5590	1981909	2116834	134926	+	254	upstream	254	PRKCZ
chr1	1982182	1982331	150	*	X00144	5590	1981909	2116834	134926	+	0	inside	272	PRKCZ
chr1	2323483	2323752	270	*	X00155	11079	2323214	2336885	13672	+	0	inside	268	RER1
chr1	2323483	2323752	270	*	X00155	79906	2252696	2322993	70298	-	489	upstream	489	MORN1
chr1	2343694	2343783	90	*	X00157	5192	2336241	2344010	7770	-	0	inside	226	PEX10
chr1	2344208	2344263	56	*	X00158	5192	2336241	2344010	7770	-	197	upstream	197	PEX10
chr1	2344909	2345028	120	*	X00159	5192	2336241	2344010	7770	-	898	upstream	898	PEX10
chr1	2457867	2457877	11	*	X00164	55229	2439975	2458035	18061	-	0	inside	157	PANK4
chr1	2459798	2460052	255	*	X00166	55229	2439975	2458035	18061	-	1762	upstream	1762	PANK4
chr1	2461973	2462077	105	*	X00169	388585	2460184	2461684	1501	-	288	upstream	288	HES5
chr1	2462483	2462542	60	*	X00170	388585	2460184	2461684	1501	-	798	upstream	798	HES5
chr1	2462663	2462797	135	*	X00171	388585	2460184	2461684	1501	-	978	upstream	978	HES5
chr1	2517495	2517614	120	*	X00185	127281	2517899	2522908	5010	+	284	upstream	284	PRXL2B
chr1	2983794	2983883	90	*	X00201	63976	2985742	3355185	369444	+	1858	upstream	1858	PRDM16
chr1	2985039	2985263	225	*	X00202	63976	2985742	3355185	369444	+	478	upstream	478	PRDM16
chr1	2985039	2985263	225	*	X00202	440556	2976181	2984289	8109	-	749	upstream	749	PRDM16-DT
chr1	2985534	2985653	120	*	X00203	63976	2985742	3355185	369444	+	88	upstream	88	PRDM16
chr1	2985534	2985653	120	*	X00203	440556	2976181	2984289	8109	-	1244	upstream	1244	PRDM16-DT
chr1	3527983	3528092	110	*	X00220	1953	3404506	3528059	123554	-	0	overlapStart	0	MEGF6
chr1	3567435	3567509	75	*	X00222	49856	3547331	3566671	19341	-	763	upstream	763	WRAP73
chr1	3567435	3567509	75	*	X00222	7161	3569129	3652765	83637	+	1619	upstream	1619	TP73
chr1	3663507	3663656	150	*	X00224	57212	3652548	3663937	11390	-	0	inside	280	TP73-AS1
chr1	3688852	3688941	90	*	X00225	388588	3689334	3692546	3213	+	392	upstream	392	SMIM1
chr1	3688950	3689029	80	*	X00226	388588	3689334	3692546	3213	+	304	upstream	304	SMIM1
chr1	3713211	3713330	120	*	X00227	57470	3696784	3713068	16285	-	142	upstream	142	LRRC47
chr1	3774387	3774566	180	*	X00228	9731	3728645	3773797	45153	-	589	upstream	589	CEP104
chr1	3816553	3816732	180	*	X00229	100133612	3816968	3833879	16912	+	235	upstream	235	LINC01134
chr1	3816553	3816732	180	*	X00229	339448	3805697	3816857	11161	-	0	inside	124	C1orf174
chr1	3816823	3816826	4	*	X00230	100133612	3816968	3833879	16912	+	141	upstream	141	LINC01134
chr1	3816823	3816826	4	*	X00230	339448	3805697	3816857	11161	-	0	inside	30	C1orf174
chr1	3817439	3817573	135	*	X00231	339448	3805697	3816857	11161	-	581	upstream	581	C1orf174
chr1	3817724	3817963	240	*	X00232	339448	3805697	3816857	11161	-	866	upstream	866	C1orf174
chr1	4713369	4713638	270	*	X00233	55966	4715105	4843851	128747	+	1466	upstream	1466	AJAP1
chr1	4714134	4714238	105	*	X00234	55966	4715105	4843851	128747	+	866	upstream	866	AJAP1
chr1	6051104	6051223	120	*	X00238	8514	6052358	6161253	108896	+	1134	upstream	1134	KCNAB2
chr1	6051809	6051851	43	*	X00239	8514	6052358	6161253	108896	+	506	upstream	506	KCNAB2
chr1	6051993	6052158	166	*	X00240	8514	6052358	6161253	108896	+	199	upstream	199	KCNAB2
chr1	6052784	6052873	90	*	X00241	261734	5922870	6052533	129664	-	250	upstream	250	NPHP4
chr1	6052954	6053358	405	*	X00242	261734	5922870	6052533	129664	-	420	upstream	420	NPHP4
chr1	6053574	6053798	225	*	X00243	261734	5922870	6052533	129664	-	1040	upstream	1040	NPHP4
chr1	6054159	6054217	59	*	X00244	261734	5922870	6052533	129664	-	1625	upstream	1625	NPHP4
chr1	6054227	6054263	37	*	X00245	261734	5922870	6052533	129664	-	1693	upstream	1693	NPHP4
chr1	6240144	6240224	81	*	X00255	26038	6161847	6240194	78348	-	0	overlapStart	0	CHD5
chr1	6240258	6240263	6	*	X00256	26038	6161847	6240194	78348	-	63	upstream	63	CHD5
chr1	6240879	6240968	90	*	X00257	26038	6161847	6240194	78348	-	684	upstream	684	CHD5
chr1	6241689	6241793	105	*	X00258	26038	6161847	6240194	78348	-	1494	upstream	1494	CHD5
chr1	6265074	6265193	120	*	X00259	388591	6266189	6281359	15171	+	995	upstream	995	RNF207
chr1	6265549	6265574	26	*	X00260	388591	6266189	6281359	15171	+	614	upstream	614	RNF207
chr1	6303929	6304000	72	*	X00273	390992	6304252	6305638	1387	+	251	upstream	251	HES3
chr1	6304063	6304198	136	*	X00274	390992	6304252	6305638	1387	+	53	upstream	53	HES3
chr1	6304319	6304408	90	*	X00275	390992	6304252	6305638	1387	+	0	inside	66	HES3
chr1	6304499	6304618	120	*	X00276	390992	6304252	6305638	1387	+	0	inside	246	HES3
chr1	6321204	6321237	34	*	X00287	387509	6307406	6321035	13630	-	168	upstream	168	GPR153
chr1	6321673	6321833	161	*	X00288	387509	6307406	6321035	13630	-	637	upstream	637	GPR153
chr1	6453436	6453533	98	*	X00289	11332	6324332	6453826	129495	-	0	inside	292	ACOT7
chr1	6453872	6453916	45	*	X00290	11332	6324332	6453826	129495	-	45	upstream	45	ACOT7
chr1	6453963	6453976	14	*	X00291	11332	6324332	6453826	129495	-	136	upstream	136	ACOT7
chr1	6483818	6483982	165	*	X00297	83715	6484848	6521004	36157	+	865	upstream	865	ESPN
chr1	6484067	6484186	120	*	X00298	83715	6484848	6521004	36157	+	661	upstream	661	ESPN
chr1	6484748	6484772	25	*	X00299	83715	6484848	6521004	36157	+	75	upstream	75	ESPN
chr1	6484748	6484772	25	*	X00299	54626	6472498	6484730	12233	-	17	upstream	17	HES2
chr1	6484813	6484852	40	*	X00300	83715	6484848	6521004	36157	+	0	overlapStart	0	ESPN
chr1	6484813	6484852	40	*	X00300	54626	6472498	6484730	12233	-	82	upstream	82	HES2
chr1	6526362	6526362	1	*	X00309	8718	6521214	6526255	5042	-	106	upstream	106	TNFRSF25
chr1	6640183	6640317	135	*	X00323	3104	6640056	6649340	9285	+	0	inside	126	ZBTB48
chr1	6640337	6640486	150	*	X00324	3104	6640056	6649340	9285	+	0	inside	280	ZBTB48
chr1	6662957	6663076	120	*	X00325	9903	6650779	6662929	12151	-	27	upstream	27	KLHL21
chr1	6673307	6673410	104	*	X00326	148479	6673756	6684093	10338	+	345	upstream	345	PHF13
chr1	6673817	6673831	15	*	X00327	148479	6673756	6684093	10338	+	0	inside	60	PHF13
chr1	6673963	6674579	617	*	X00328	148479	6673756	6684093	10338	+	0	inside	206	PHF13
chr1	6844744	6844863	120	*	X00331	23261	6845384	7829766	984383	+	520	upstream	520	CAMTA1
chr1	6845548	6845598	51	*	X00332	23261	6845384	7829766	984383	+	0	inside	163	CAMTA1
chr1	6845629	6845749	121	*	X00333	23261	6845384	7829766	984383	+	0	inside	244	CAMTA1
chr1	7830942	7831076	135	*	X00346	9341	7831329	7841492	10164	+	252	upstream	252	VAMP3
chr1	7831182	7831248	67	*	X00347	9341	7831329	7841492	10164	+	80	upstream	80	VAMP3
chr1	7843482	7843680	199	*	X00348	8863	7844380	7905237	60858	+	699	upstream	699	PER3
chr1	8085996	8086220	225	*	X00351	54206	8071779	8086393	14615	-	0	inside	172	ERRFI1
chr1	8087308	8087412	105	*	X00352	54206	8071779	8086393	14615	-	914	upstream	914	ERRFI1
chr1	8877300	8877419	120	*	X00357	473	8412464	8877699	465236	-	0	inside	279	RERE
chr1	8877585	8877734	150	*	X00358	473	8412464	8877699	465236	-	0	overlapStart	0	RERE
chr1	9189481	9189755	275	*	X00359	80045	9164476	9189229	24754	-	251	upstream	251	GPR157
chr1	9353157	9353336	180	*	X00367	80176	9352941	9429590	76650	+	0	inside	215	SPSB1
chr1	9648919	9648956	38	*	X00375	199953	9648932	9674935	26004	+	0	overlapStart	0	TMEM201
chr1	9884234	9884375	142	*	X00384	22883	9789079	9884550	95472	-	0	inside	174	CLSTN1
chr1	9969998	9970087	90	*	X00385	56998	9908334	9970316	61983	-	0	inside	228	CTNNBIP1
chr1	9970696	9970792	97	*	X00386	56998	9908334	9970316	61983	-	379	upstream	379	CTNNBIP1
chr1	10056431	10056550	120	*	X00387	116362	10057255	10076078	18824	+	704	upstream	704	RBP7
chr1	10057136	10057270	135	*	X00388	116362	10057255	10076078	18824	+	0	overlapStart	0	RBP7
chr1	10057511	10057645	135	*	X00389	116362	10057255	10076078	18824	+	0	inside	255	RBP7
chr1	10093073	10093284	212	*	X00390	10277	10093041	10241296	148256	+	0	inside	31	UBE4B
chr1	10458959	10459048	90	*	X00392	5226	10459085	10480201	21117	+	36	upstream	36	PGD
chr1	10532191	10532325	135	*	X00395	1676	10520603	10532613	12011	-	0	inside	287	DFFA
chr1	10534932	10535265	334	*	X00396	5195	10535003	10690815	155813	+	0	overlapStart	0	PEX14
chr1	11119965	11120004	40	*	X00430	6723	11114649	11120091	5443	-	0	inside	86	SRM
chr1	11120850	11120969	120	*	X00431	6723	11114649	11120091	5443	-	758	upstream	758	SRM
chr1	11160022	11160156	135	*	X00432	5394	11126676	11159938	33263	-	83	upstream	83	EXOSC10
chr1	11322310	11322414	105	*	X00434	2475	11166588	11322608	156021	-	0	inside	193	MTOR
chr1	11537482	11537610	129	*	X00435	57540	11539295	11597640	58346	+	1684	upstream	1684	DISP3
chr1	11538118	11538222	105	*	X00436	57540	11539295	11597640	58346	+	1072	upstream	1072	DISP3
chr1	11538823	11538823	1	*	X00437	57540	11539295	11597640	58346	+	471	upstream	471	DISP3
chr1	11538908	11538942	35	*	X00438	57540	11539295	11597640	58346	+	352	upstream	352	DISP3
chr1	11715052	11715137	86	*	X00442	26232	11708418	11714888	6471	-	163	upstream	163	FBXO2
chr1	11715153	11715407	255	*	X00443	26232	11708418	11714888	6471	-	264	upstream	264	FBXO2
chr1	11724335	11724500	166	*	X00444	26270	11724150	11734409	10260	+	0	inside	184	FBXO6
chr1	11751106	11751240	135	*	X00451	374946	11751781	11780336	28556	+	540	upstream	540	DRAXIN
chr1	11751586	11751975	390	*	X00452	374946	11751781	11780336	28556	+	0	overlapStart	0	DRAXIN
chr1	11751586	11751975	390	*	X00452	10459	11734537	11751678	17142	-	0	overlapStart	0	MAD2L2
chr1	11752987	11753063	77	*	X00453	10459	11734537	11751678	17142	-	1308	upstream	1308	MAD2L2
chr1	11864965	11865080	116	*	X00458	1185	11866153	11903201	37049	+	1072	upstream	1072	CLCN6
chr1	11866431	11866610	180	*	X00459	1185	11866153	11903201	37049	+	0	inside	277	CLCN6
chr1	11866431	11866610	180	*	X00459	4524	11845787	11866160	20374	-	270	upstream	270	MTHFR
chr1	11994695	11994799	105	*	X00463	5351	11994724	12035599	40876	+	0	overlapStart	0	PLOD1
chr1	11994935	11995039	105	*	X00464	5351	11994724	12035599	40876	+	0	inside	210	PLOD1
chr1	12226942	12227001	60	*	X00467	7133	12227060	12269277	42218	+	58	upstream	58	TNFRSF1B
chr1	12677827	12677886	60	*	X00478	9249	12627939	12677820	49882	-	6	upstream	6	DHRS3
chr1	12679687	12679806	120	*	X00479	9249	12627939	12677820	49882	-	1866	upstream	1866	DHRS3
chr1	13840180	13840476	297	*	X00481	126755	13801445	13840242	38798	-	0	overlapStart	0	LRRC38
chr1	13910312	13910446	135	*	X00483	10630	13910252	13944452	34201	+	0	inside	59	PDPN
chr1	14924670	14924774	105	*	X00487	23254	14925213	15444544	519332	+	438	upstream	438	KAZN
chr1	14924925	14924969	45	*	X00488	23254	14925213	15444544	519332	+	243	upstream	243	KAZN
chr1	15478068	15478135	68	*	X00490	55092	15479028	15546974	67947	+	892	upstream	892	TMEM51
chr1	15480115	15480355	241	*	X00491	200197	15438311	15478960	40650	-	1154	upstream	1154	TMEM51-AS1
chr1	15573912	15574106	195	*	X00494	114827	15573768	15726778	153011	+	0	inside	143	FHAD1
chr1	15851058	15851373	316	*	X00501	842	15817324	15851285	33962	-	0	overlapStart	0	CASP9
chr1	15851058	15851373	316	*	X00501	23341	15853352	15918874	65523	+	1978	upstream	1978	DNAJC16
chr1	15851676	15851719	44	*	X00502	842	15817324	15851285	33962	-	390	upstream	390	CASP9
chr1	15851676	15851719	44	*	X00502	23341	15853352	15918874	65523	+	1632	upstream	1632	DNAJC16
chr1	15851810	15851944	135	*	X00503	842	15817324	15851285	33962	-	524	upstream	524	CASP9
chr1	15851810	15851944	135	*	X00503	23341	15853352	15918874	65523	+	1407	upstream	1407	DNAJC16
chr1	15851960	15852064	105	*	X00504	842	15817324	15851285	33962	-	674	upstream	674	CASP9
chr1	15851960	15852064	105	*	X00504	23341	15853352	15918874	65523	+	1287	upstream	1287	DNAJC16
chr1	15853603	15853737	135	*	X00505	23341	15853352	15918874	65523	+	0	inside	250	DNAJC16
chr1	15943360	15943494	135	*	X00506	84301	15943953	15987552	43600	+	458	upstream	458	DDI2
chr1	15943990	15944109	120	*	X00507	84301	15943953	15987552	43600	+	0	inside	36	DDI2
chr1	16010289	16010784	496	*	X00508	23207	16010827	16061264	50438	+	42	upstream	42	PLEKHM2
chr1	16174985	16175044	60	*	X00514	729614	16160710	16174642	13933	-	342	upstream	342	FLJ37453
chr1	16175300	16175449	150	*	X00515	729614	16160710	16174642	13933	-	657	upstream	657	FLJ37453
chr1	16176105	16176209	105	*	X00516	729614	16160710	16174642	13933	-	1462	upstream	1462	FLJ37453
chr1	16301983	16302417	435	*	X00518	7709	16268364	16302627	34264	-	0	inside	209	ZBTB17
chr1	16353546	16353680	135	*	X00522	1188	16355621	16383821	28201	+	1940	upstream	1940	CLCNKB
chr1	16353733	16353753	21	*	X00523	1188	16355621	16383821	28201	+	1867	upstream	1867	CLCNKB
chr1	16400313	16400402	90	*	X00528	348487	16384264	16400127	15864	-	185	upstream	185	FAM131C
chr1	16539125	16539244	120	*	X00537	128272	16524599	16539104	14506	-	20	upstream	20	ARHGEF19
chr1	16563740	16563814	75	*	X00547	79363	16558182	16563659	5478	-	80	upstream	80	CPLANE2
chr1	16693696	16693815	120	*	X00548	26099	16693525	16724643	31119	+	0	inside	170	SZRD1
chr1	17445967	17446071	105	*	X00561	11240	17393256	17445948	52693	-	18	upstream	18	PADI2
chr1	17446538	17446702	165	*	X00562	11240	17393256	17445948	52693	-	589	upstream	589	PADI2
chr1	17765870	17765959	90	*	X00567	55920	17733251	17766250	33000	-	0	inside	290	RCC2
chr1	17766215	17766261	47	*	X00568	55920	17733251	17766250	33000	-	0	overlapStart	0	RCC2
chr1	17766335	17766364	30	*	X00569	55920	17733251	17766250	33000	-	84	upstream	84	RCC2
chr1	17767158	17767277	120	*	X00570	55920	17733251	17766250	33000	-	907	upstream	907	RCC2
chr1	18432531	18432665	135	*	X00577	84966	18434240	18704977	270738	+	1574	upstream	1574	IGSF21
chr1	18433956	18434165	210	*	X00578	84966	18434240	18704977	270738	+	74	upstream	74	IGSF21
chr1	18434249	18434279	31	*	X00579	84966	18434240	18704977	270738	+	0	inside	8	IGSF21
chr1	18956098	18956262	165	*	X00586	5081	18957500	19075360	117861	+	1237	upstream	1237	PAX7
chr1	18956988	18957122	135	*	X00587	5081	18957500	19075360	117861	+	377	upstream	377	PAX7
chr1	18957213	18957332	120	*	X00588	5081	18957500	19075360	117861	+	167	upstream	167	PAX7
chr1	19283102	19283185	84	*	X00622	126917	19230774	19282826	52053	-	275	upstream	275	IFFO2
chr1	19283807	19283896	90	*	X00623	126917	19230774	19282826	52053	-	980	upstream	980	IFFO2
chr1	19600260	19600335	76	*	X00624	246181	19592476	19600568	8093	-	0	inside	232	AKR7L
chr1	19614837	19615046	210	*	X00625	22977	19609057	19615280	6224	-	0	inside	233	AKR7A3
chr1	19637976	19638335	360	*	X00626	54896	19638740	19658922	20183	+	404	upstream	404	SLC66A1
chr1	19811548	19811967	420	*	X00628	832	19665267	19812066	146800	-	0	inside	98	CAPZB
chr1	19812398	19812547	150	*	X00629	832	19665267	19812066	146800	-	331	upstream	331	CAPZB
chr1	19991169	19991258	90	*	X00631	3362	19991780	20006055	14276	+	521	upstream	521	HTR6
chr1	19991638	19992102	465	*	X00632	3362	19991780	20006055	14276	+	0	overlapStart	0	HTR6
chr1	20511309	20511408	100	*	X00639	127733	20512578	20519942	7365	+	1169	upstream	1169	UBXN10
chr1	20512401	20512475	75	*	X00640	127733	20512578	20519942	7365	+	102	upstream	102	UBXN10
chr1	20512537	20512550	14	*	X00641	127733	20512578	20519942	7365	+	27	upstream	27	UBXN10
chr1	20617370	20617396	27	*	X00644	127731	20617412	20681387	63976	+	15	upstream	15	VWA5B1
chr1	20812405	20812722	318	*	X00661	55450	20808884	20812728	3845	-	0	inside	5	CAMK2N1
chr1	20812732	20812871	140	*	X00662	55450	20808884	20812728	3845	-	3	upstream	3	CAMK2N1
chr1	20878336	20878485	150	*	X00663	163933	20878932	20881513	2582	+	446	upstream	446	FAM43B
chr1	20879086	20879205	120	*	X00664	163933	20878932	20881513	2582	+	0	inside	153	FAM43B
chr1	21044396	21044417	22	*	X00671	57576	20990507	21044317	53811	-	78	upstream	78	KIF17
chr1	21060481	21060527	47	*	X00675	400745	21046225	21059330	13106	-	1150	upstream	1150	SH2D5
chr1	21113449	21113523	75	*	X00677	50809	21069171	21113799	44629	-	0	inside	275	HP1BP3
chr1	21503085	21503109	25	*	X00681	8672	21132785	21503381	370597	-	0	inside	271	EIF4G3
chr1	21504151	21504192	42	*	X00682	8672	21132785	21503381	370597	-	769	upstream	769	EIF4G3
chr1	21672718	21672807	90	*	X00690	1889	21543740	21672034	128295	-	683	upstream	683	ECE1
chr1	21835863	21835956	94	*	X00695	249	21835858	21904905	69048	+	0	inside	4	ALPL
chr1	21995313	21995642	330	*	X00701	5909	21922708	21995856	73149	-	0	inside	213	RAP1GAP
chr1	22263353	22263502	150	*	X00704	3339	22148737	22263750	115014	-	0	inside	247	HSPG2
chr1	22379391	22379441	51	*	X00705	998	22379120	22419436	40317	+	0	inside	270	CDC42
chr1	22470143	22470192	50	*	X00709	54361	22443798	22470385	26588	-	0	inside	192	WNT4
chr1	23036564	23036773	210	*	X00715	2048	23037331	23241823	204493	+	557	upstream	557	EPHB2
chr1	23036834	23036983	150	*	X00716	2048	23037331	23241823	204493	+	347	upstream	347	EPHB2
chr1	23037599	23037635	37	*	X00717	2048	23037331	23241823	204493	+	0	inside	267	EPHB2
chr1	23345348	23345444	97	*	X00722	23028	23345941	23410184	64244	+	496	upstream	496	KDM1A
chr1	23670496	23670825	330	*	X00730	10236	23636276	23670853	34578	-	0	inside	27	HNRNPR
chr1	23671126	23671230	105	*	X00731	10236	23636276	23670853	34578	-	272	upstream	272	HNRNPR
chr1	23671711	23671815	105	*	X00732	10236	23636276	23670853	34578	-	857	upstream	857	HNRNPR
chr1	23671880	23671954	75	*	X00733	10236	23636276	23670853	34578	-	1026	upstream	1026	HNRNPR
chr1	23693971	23694060	90	*	X00736	148898	23695464	23698330	2867	+	1403	upstream	1403	ZNF436-AS1
chr1	23751209	23751313	105	*	X00752	6920	23707555	23751261	43707	-	0	overlapStart	0	TCEA3
chr1	23752778	23752942	165	*	X00753	6920	23707555	23751261	43707	-	1516	upstream	1516	TCEA3
chr1	23810944	23811289	346	*	X00757	55616	23755056	23811057	56002	-	0	overlapStart	0	ASAP3
chr1	23857735	23857807	73	*	X00759	1870	23832920	23857712	24793	-	22	upstream	22	E2F2
chr1	23886254	23886403	150	*	X00765	3399	23884421	23886285	1865	-	0	overlapStart	0	ID3
chr1	24104766	24104812	47	*	X00773	57095	24104876	24114722	9847	+	63	upstream	63	PITHD1
chr1	24104766	24104812	47	*	X00773	100506963	24086872	24104787	17916	-	0	overlapStart	0	ELOA-AS1
chr1	24105187	24105321	135	*	X00774	100506963	24086872	24104787	17916	-	399	upstream	399	ELOA-AS1
chr1	24105831	24105950	120	*	X00775	100506963	24086872	24104787	17916	-	1043	upstream	1043	ELOA-AS1
chr1	24117796	24118065	270	*	X00776	11313	24117646	24122029	4384	+	0	inside	149	LYPLA2
chr1	24126996	24127340	345	*	X00781	2582	24122089	24127294	5206	-	0	overlapStart	0	GALE
chr1	24285739	24285948	210	*	X00786	55629	24286301	24289949	3649	+	352	upstream	352	PNRC2
chr1	24513630	24513809	180	*	X00789	163702	24480647	24513765	33119	-	0	overlapStart	0	IFNLR1
chr1	24514565	24514598	34	*	X00790	163702	24480647	24513765	33119	-	799	upstream	799	IFNLR1
chr1	24645694	24645775	82	*	X00791	57822	24645812	24690970	45159	+	36	upstream	36	GRHL3
chr1	24828721	24828840	120	*	X00793	11123	24828841	24863510	34670	+	0	upstream	0	RCAN3
chr1	24828721	24828840	120	*	X00793	100750325	24822823	24828850	6028	-	0	inside	9	RCAN3AS
chr1	24829208	24829242	35	*	X00794	100750325	24822823	24828850	6028	-	357	upstream	357	RCAN3AS
chr1	24882519	24882553	35	*	X00795	400746	24882567	24935818	53252	+	13	upstream	13	NCMAP
chr1	24882598	24882638	41	*	X00796	400746	24882567	24935818	53252	+	0	inside	30	NCMAP
chr1	24882774	24882953	180	*	X00797	400746	24882567	24935818	53252	+	0	inside	206	NCMAP
chr1	24968541	24968630	90	*	X00799	10250	24969594	24999772	30179	+	963	upstream	963	SRRM1
chr1	25559610	25559714	105	*	X00814	25949	25548767	25559013	10247	-	596	upstream	596	SYF2
chr1	25665118	25665222	105	*	X00818	57035	25568740	25664656	95917	-	461	upstream	461	RSRP1
chr1	25757420	25757459	40	*	X00819	55219	25757388	25826698	69311	+	0	inside	31	MACO1
chr1	25757420	25757459	40	*	X00819	6006	25688740	25756683	67944	-	736	upstream	736	RHCE
chr1	25758083	25758202	120	*	X00820	6006	25688740	25756683	67944	-	1399	upstream	1399	RHCE
chr1	25870080	25870129	50	*	X00821	26119	25870076	25895377	25302	+	0	inside	3	LDLRAP1
chr1	25943361	25943402	42	*	X00823	57134	25943959	26111258	167300	+	556	upstream	556	MAN1C1
chr1	26126511	26126558	48	*	X00826	57190	26126667	26144713	18047	+	108	upstream	108	SELENON
chr1	26185429	26185623	195	*	X00830	79000	26160497	26185848	25352	-	0	inside	224	AUNIP
chr1	26185924	26186013	90	*	X00831	79000	26160497	26185848	25352	-	75	upstream	75	AUNIP
